id,English,,Portuguese,,Danish,,German,,Spanish,,French,,Italian,,Dutch,
1721,tonic,tonic,tónico,que produz e restabelece o tom normal;que se caracteriza por tensão contínua,tonisktonika,styrkende,tonisch,1.den Tonus betreffend2.stärkend,tónico,que produce y restablece el tono normal;que se caracteriza por tensión continua,tonique,1) relatif au tonus musculaire - 2) qui stimule;fortifie,tonico,tonico,tonisch,met betrekking tot spanning
1722,tonsillitis,tonsillitis,tonsilite,angina;amigdalite;esquinência;antiadite;inflamação das amígdalas,tonsillitis,betændelse i mandel,Tonsillitis,Mandelentzündung,tonsilitis,inflamación de una amígdala,tonsillite  amygdalite,inflammation des amygdales,tonsillite,tonsillite,tonsillitis,amandelontsteking
1723,tophus,gout,tofo,depósito nos tecidos;principalmente de ácido úrico e seus sais;característico da gota,tophi,knuder aflejret i vævet under huden ved kronisk ægte gigt,Tophus,entzündliche Knotenbildung,tofo,depósito de urato que se produce en caso de gota,tophus,concrétion de cristaux d'acide urique,tofo,deposito di sodio in prossimità delle articolazioni,tofus,jichtknobbel
1724,topical,applied to the surface,tópico,local,topisk,lokal,topisch,die örtl. Lage betreffend,tópico,local,topique,à usage externe et local,topico,locale,topisch,plaatselijk
1725,torsade de pointes,irregular heartbeat,torsade de pointes,torsade de pointes,TU,TU,Torsade de pointes,,torsade de pointes,,torsade  de pointe,forme de fibrillation ventriculaire,torsade de pointes,battito non normale del ventricolo,torsade de pointes,heel snelle hartwerking
1726,torsion,twisting,torção,rotação de um órgão em torno de si mesmo,torsio,drejning,Torsion,Achsendrehung eines Organs,torsión,torcedura;giro de un órgano en torno a su eje;rotación,torsione,torsione,torsie,draaiing
1727,torticollis,twisting of head and neck,torcicolo,torticolo,torticollis,skævhals;skæv holdning af hovedet p.g.a. muskellidelse i hals eller lidelse i halshvirvel,Torticollis,Scjiefhals,tortícolis,cuello torcido,torticolis,torticolis,torticollo,torcicollo,torticollis,scheefhals
1728,toxaemia,blood poisoning,toxemia,intoxicação do sangue;toxinemia,toxæmia,sygelig tilstand forårsaget af giftstoffer i blodet,Toxämie,Blutvergiftung,toxemia,intoxicación de la sangre,toxémie,présence de toxines dans le sang,tossiemia,presenza di sostanze tossiche,toxemie,bloedvergiftiging door organische gifstof
1729,toxic,toxic,tóxico,venenoso,toksisk,giftig,toxisch,1.giftig 2.durch Gift bedingt,tóxico,venenoso,toxique,poison,tossico,tossico,toxisch,giftig
1730,toxicity,poisonousness,toxicidade,efeito nocivo de uma substância química,toksicitet,giftighed,Toxizität,Giftigkeit einer SubstanzROCHE 1984,toxicidad,efecto nocivo que tiene una sustancia química,toxicité,qualité d'une substance qui peut empoisonner un organisme vivant,tossicità,tossicità,toxiciteit,giftigheid
1731,toxicological,poison study-related,toxicológico,relativo à ciência que estuda os venenos,toksikologisk,om gifte og deres virkninger,toxikologisch,giftkundig,toxicológico,perteneciente o relativo a la ciencia que estudia los venenos,toxicologique,relatif à la connaissance des poisons,tossicologico,tossicologico,toxicologisch,met betrekking tot gifstoffen
1732,toxicomania,drug addiction,toxicomania,toxicodependência,toxicomania,medikamentafhængighed,Toxikomanie,Gewöhnung an oder Abhängigkeit von Drogen,toxicomanía,dependencia de una droga,toxicomanie,toxicomanie,tossicomania,tossicomania,toxicomanie,verslaving aan gifstof
1733,toxin,poison,toxina,veneno,toksin,giftstof,Toxin,wasserlöslicher Giftstoff,toxina,veneno,toxine,substance toxique,tossina,tossina,toxine,gifstof
1734,toxoplasmosis,blood infection from cat dirt,toxoplasmose,doença infecciosa causada por Toxoplasma gondi,toksoplasmose,sygdom fremkaldt af en parasit overført fra dyr til mennesker,Toxoplasmose,Infektionskrankheit durch Toxoplasma gondii,toxoplasmosis,enfermedad infecciosa causada por Toxoplasma gondii,toxoplasmose,maladie causée par les toxoplasmes,toxoplasmosi,malattia acuta del sangue,toxoplasmose,klierziekte veroorzaakt door het toxoplasma
1735,tracheitis,bronchitis,traqueíte,inflamação da traqueia,tracheitis,luftrørskatar,Tracheitis,Entzündung der Luftröhrenschleimhaut,traqueítis,inflamación de la tráquea,trachéite,trachéite,tracheite,tracheite,tracheitis,ontsteking van het slijmvlies van de luchtpijp
1736,trachoma,eye infection,tracoma,doença infecciosa da conjuntiva e da córnea do olho,trakom,smitsom betændelse af øjets slimhinder med dannelse af små gryn,Trachom,Bindehauterkrankung,tracoma,enfermedad infecciosa de la conjuntiva y de la córnea del ojo,trachome,infection chronique de la conjonctive et de la cornée,tracoma,malattia infettiva della congiuntiva e della cornea,trachoom,korrelachtige ontsteking van het oogbindvlies
1737,tract,channel,tracto,tubo digestivo;incluindo a boca;esófago;estômago;intestinos delgado e grosso;recto;ânos e glândulas anexas,tractus,gang,Tractus,Bahn des Nervensystems,tracto,haz de fibras;cordón;vía,tractus,ensemble d'organes qui constituent un appareil,tratto,tratto,tractus,vezelbundel
1738,tranquillizer,tranquillizer,tranquilizante,medicamento que serve para tranquilizar;calmante,tranquillizer,nerveberoligende middel,Tranquilizer,Beruhigungsmittel,tranquilizante,medicamento que sirve para tranquilizar,tranquillisant,tranquillisant,tranquillizzante,tranquillizzante,tranquillizer,middel dat opwindingstoestanden bedaart
1739,transaminase,an enzyme,transaminase,enzimas hepáticas,transaminase,enzymer forekommende i blodet i stærkt forøgede mængder ved visse sygdomme,Aminotransferase,Enzyme;die Aminogruppen von einer Substanz auf eine,transaminasa,tipo de enzima,transaminase,enzyme qui transporte les groupements aminés vers d'autres corps,transaminasi,enzimi che utilizzano l'eccesso di azoto,transaminase,giststof die een aminogroep van de ene stof op de andere kan overdragen
1740,transcutaneous,through the skin,transcutâneo,através da pele intacta,transkutan,gennem huden,transkutan,durch die unverletzte Haut hindurch,transcutáneo,a través de la piel intacta,transcutanétransdermique,à travers la peau,percutaneo,che passa attraverso la pelle,transcutaan,door de huid heen toegediend
1741,transdermal,through the skin,transdérmico,que passa através da pele,transdermal,gennem huden,transdermal,durch die Haut hindurch,transdérmico,que pasa a través de la piel,transcutanétransdermique,à travers la peau,transdermale,che passa attraverso la pelle,transdermaal,door de huid
1742,transfer,transfer,transferência,passagem de um sintoma ou doença para outro,transport,omplantning,Transfer,übertragung,transferencia,paso de un síntoma o una enfermedad de una parte hacia otra;psiquiatr: cambio del afecto de una persona hacia otra;desde una idea hacia otra,transfert,transfert,transfer,trasferimento,transfer,overdracht
1743,transformation,transformation,transformação,mudança de forma ou estrutura;alteração,transformation,transformation,Transformation,Umwandlung,transformación,cambio de forma o estructura,transformation,transformation,trasformazione,trasformazione,transformatie,verandering
1744,transfusion,transfusion,transfusão,transfusão,transfusion,transfusion,Transfusion,Blutübertragung,transfusión,transfusión,transfusion,transfusion,trasfusione,trasfusione,transfusie,inbrengen van bloed in het bloedvatenstelsel
1745,transit,transit,trânsito,passagem,transfert,overførsel,Transit,Passage,tránsito,paso,transit,passage des aliments à travers l'appareil digestif,transito,transito,transit,doorvoer
1746,transitory,brief,transitório,passageiro,transitorisk,forbigående,transitorisch,vorübergehend,transitorio,pasajero,transitoire,passager,transitorio,transitorio,transitoir; transitoor,van voorbijgaande aard
1747,transmission,transmission,transmissão,propagação,transmission,overførsel,Transmission,1.Durchgang 2. Übertragung,transmisión,transmisión;transferencia,transmission,héréditécontagion,trasmissione,trasmissione,transmissie,overbrenging
1748,transplantation,transplanation,transplantação,transplante,transplantation,transplantation;flytning af væv fra et sted af legemet til et andet,Transplantation,Transplantation,trasplante,trasplante,transplantation,transplantation,trapianto,trapianto,transplantatie,overplanting
1749,transurethral,through the urine tube,transruretal,que conduz através da uretra ou a atravessa,transuretral,gennem urinrøret,transurethral,durch die Harnröhre,transuretral,que conduce a través de la uretra o la atraviesa,transurétral,à travers l'urètre,transuretrale,che attraversa l'uretra,transuretraal,door de urinebuis
1750,traumatic,traumatic,traumático,relativo a um trauma ou traumatismo;ou causado por ele,traumatisk,traumatisk,traumatisch,traumatisch,traumático,perteneciente o relativo a un trauma o traumatismo;o causado por él,traumatique,résultant d'un traumatisme,traumatico,traumatico,traumatisch,door een letsel ontstaan
1751,tremor,tremor,tremor,tremor,tremor,rystebevægelse,Tremor,Zittern,tremor,temblor,trémor,tremblement,tremore,tremore,tremor,beving
1752,tricyclic,drugs used to treat depression,tricíclico,constituído por três anéis entrelaçados,tricyklisk,molekylærstruktur som tre forbundne cirkler,trizyklisch,aus drei miteinander verknüpften Ringen bestehend,tricíclico,constituido por tres anillos enlazados entre sí,tricyclique,comportant trois cycles,triciclico,struttura delle molecole a tre cicli,tricyclisch,tricyclisch
1753,trigger zone,trigger zone,zona de pressão,zona de excitabilidade aumentada,trigger zone,begrænset område;hvorfra nervesmerter kan udløses,Trigger-Zone,umschriebene Region im Bereich des Innervationsgebiets,zona  resorte,zona de excitabilidad aumentada,,,zona grilletto,zona grilletto,triggerzone,pijnpunt
1754,trismus,lockjaw,trismo,espasmo dos músculos mandibulares;tétano,trismus,langvarig krampe i tyggemusklerne;hvorved mundoplukning umuliggøres,Trismus,Krampf der Kaumuskulatur mit Kieferklemme,trismo,imposibilidad de apertura total de la boca,trismus,contraction intense des mâchoires,trisma,serrare le mascelle per via di spasmi muscolari,trismus,kaakkramp
1755,trivalent,with a valence of three,trivalente,que se une com três átomos de hidrogénio ou os substitui,TU,TU,trivalent,dreiwertig,trivalente,que se une con tres átomos de hidrógeno o los sustituye,trivalent,dont la valence est égale à 3,trivalente,che vale per tre,trivalent,driewaardig
1756,trophic,nutrition-related,trófico,nutritivo,trofisk,angående vævenes ernæring,trophisch,die Ernährung eines Gewebes betreffend,trófico,nutritivo,trophique,qui se rapporte à la nutrition des organes et des tissus,trofico,relativo alla nutrizione,trofisch,met betrekking tot de voeding van de weefsels
1757,tube,tube,tubo,tubo;cano,tuba,slange,Tube,Röhre,tubo,tubo,tube,tube,organo cilindrico cavo,tubo,tuba; tube,buis
1758,tubercular,nodular,tubercular,tubercular,tuberøs,knudret,tuberkular,Höcker oder Knötchen betreffend,,,tuberculeux,1) relatif à un tubercule - 2) personne atteinte de tuberculose,tubercolare,relativo a;o somigliante a tubercoli o noduli,tuberculeus,met betrekking tot tuberculose
1759,tuberculostatic,anti-TB drug,tuberculostático,medicamento que inibe o crescimento do bacilo da tuberculose,tuberculostatisk,som standser vækst af  tuberkelbakterier,Tuberkulostatikum,gegen Tuberkulosebakterien gerichtete Mittel,tuberculostático,medicamento que inhibe el crecimiento del bacilo de la tuberculosis,tuberculostatique,actif contre la tuberculose,tubercolostatico,che impedisce la crescita del batterio della tubercolosi,tuberculostaticum,middel tegen tuberculose
1760,tubular,tubular,tubular,com forma de tubo;tubuloso,tubulær,kanalformet,tubulär,schlauchförmig,tubular,que tiene forma de tubo,tubulaire,en forme de tube,tubulare,a forma di tubo,tubulair; tubuleus,buisvormig
1761,tumour,tumour,tumor,vegetação;excrescência;neoplasma,tumor,svulst,Tumor,Tumor,tumor,tumor,tumeur,tumeur,tumore,tumore,tumor,gezwel
1762,turnover,turnover,rotatividade,rotatividade,turnover,omsætning,turnover,Umsatzgeschwindigkeit,turnover,recambio,renouvellement,rotation,turnover,avvicendamento,turnover,verloop
1763,tympanum,ear drum,tímpano,membrana ou cavidade do ouvido médio,cavitas tympanica,trommehulen,Tympanum,Paukenhöhle im Ohr,tímpano,membrana del oído medio;cavidad del oído medio,tympan,tympan,orecchio medio,orecchio medio,tympanum,trommelholte
1764,ulcer,ulcer,úlcera,chaga;ferida,ulcus,kronisk sår;evt. mavesår,Ulkus,Geschwür,ulcus,úlcera,ulcère,ulcère,ulcera,ulcera,ulcus,zweer
1765,ulceration,ulceration,ulceração,processo de formação de uma úlcera;helcose,ulceration,sårdannelse,Ulzeration,Entwicklung eines Geschwürs,ulceración,proceso de formación de una úlcera,ulcération,formation d'un ulcère,ulcerazione,formazione di un'ulcera,ulceratie,verzwering
1766,ulcerogenic,ulcer-causing,ulcerogénico,que gera úlceras,ulcerøs,sårdannende,ulzerogen,ein Geschwür erzeugend,ulcerógeno,que produce úlceras,ulcérogèneulcératif,qui produit un ulcère,ulcerogeno,che causa ulcerazione,ulcerogeen,wat zweervorming bevordert
1767,ulcus cruris,foot ulcer,úlcera crural,úlcera da perna,ulcus cruris,kronisk sår på underbenet,Ulcus cruris,Unterschenkelgeschwür,úlcera  crural,úlcera de la pierna,ulcère du pied,ulcère du pied,ulcus cruris,ulcera del piede,ulcus cruris,zweer aan het onderbeen
1768,uniform,uniform,uniforme,uniforme,uniform,ensartet,uniform,gleichförmig,uniforme,uniforme,uniforme,uniforme,uniforme,uniforme,uniform,éénvormig
1769,unilateral,one-sided,unilateral,de um só lado,unilateral,ensidig,unilateral,einseitig,unilateral,situado en un solo lado o que afecta un solo lado,unilatéral,qui n'affecte qu'un côté,unilaterale,proveniente da un solo lato,unilateraal,éénzijdig
